Where do you need safety products?,Mihin kohteeseen etsit turvatuotteita?
COTTAGE,Mökille
BOAT,Veneeseen
HOME,Kotiin
CAR,Autoon
CAMPER VAN,Asuntoautoon tai -vaunuun				
Continue,Jatka
Back,Takaisin
Add to Cart,Katso tulokset								
Is the temperature above 0 C all year,Onko sisälämpötila plussan puolella vuoden ympäri?				
YES,Kyllä
NO,Ei
How big is the area in square meter?,Kuinka monta neliötä kohteessa on?
How many bedrooms do you have?,Kuinka monta makuuhuonetta kohteessa on?
How many floors do you have?,Kuinka monta kerrosta kohteessa on?
Is there …,Onko kohteessa…
GARAGE OR DIY ROOM,Autotalli tai verstas
FIREPLACE,Tulisija
GAS-OPERATED EQUIPMENT,Kaasutoimisia laitteita
BARBEQUE PLACE,Grilli
NONE,Ei mitään
Do you have beds in the boat?,Onko veneessä makuutiloja?
What kind of building is in question?,Onko kohde…
APARTMENT,Asunto
HOUSE,Talo
